doc_id,agreement_id,sentence_number,entity,entity_type,org_correction,corrected_entity_org,entity_correction,entity_abr
4,1544,1, Government Burma, ORG ,Government of the Republic of the Union of Myanmar,ORG,Government of the Republic of the Union of Myanmar,Gov. of Myanmar
4,1544,2, Joint Monitoring Committee, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
4,1544,87, KNLA  Permanent Central Committee, ORG ,Karen National Union (KNU)/Karen National Liberation Army (KNLA),ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA
4,1544,87, KNU, ORG ,Karen National Union (KNU)/Karen National Liberation Army (KNLA),ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA
4,1544,89, KNU / KNLA, ORG ,Karen National Union (KNU)/Karen National Liberation Army (KNLA),ORG,Karen National Union (KNU)/Karen National Liberation Army (KNLA),KNU/KNLA
4,1544,90, CNF, ORG ,Chin National Front (CNF),ORG,Chin National Front (CNF),CNF
5,1545,0, Joint Monitoring Committee Guideline, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
5,1545,2, Ceasefire Joint Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
5,1545,7, Ceasefire Joint Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
5,1545,14, Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
5,1545,14, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,15, Union Level Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
5,1545,15, Union Level Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
5,1545,15, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,17, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,25, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,26, JMC, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
5,1545,27, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,31, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,38, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,40, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,41, JMC, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
5,1545,43, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,45, JMC, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
5,1545,46, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,48, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,48, JMC - S, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
5,1545,50, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,50, Local Level Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
5,1545,50, JMC - L, ORG ,Local Level Joint Ceasefire Monitoring Committee (JMC-L),ORG,Local Level Joint Ceasefire Monitoring Committee (JMC-L),JMC-L
5,1545,50, JMC - S., ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
5,1545,51, JMC - S, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
5,1545,51, JMC, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
